اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
نار في صدري,1963,دراما,95,وقع طبيب شوقي حسين احمد مظهر حب معلم بيانو ليلي جندي مريم فخر دين تطور علاقه حتي تزوج معاناه مستمر دين تقرر ليلي مساعد اعطاء درس بيانو عايد ٱبن علياء هانم سدد دين قلب امر راس عقب تشنيع شقيق عايد ليلي,"أحمد مظهر,مريم فخر الدين,محمود المليجي,مختار أمين,فتحية شاهين,ناهد صبري,قدرية كامل,عبدالغني النجدي,ثريا فخري,هدى عيسى,أحمد أبو عبية,بوسي,حسين إسماعيل,فيفي يوسف,عبدالعظيم كامل,حسين قنديل",محروس الجارحي,"جمهوريّة فيلم,كامل الحفناوي",كمال كريم,حسين عفيفي,"ماهر عبدالنور,حلمي عزب",nan,nan,حسن رضا,منتخبات بهنا فيلم
المصيدة,1963,دراما,90,نقل حسين مدرس تاريخ قريه صعيد ركوب قطار قريه تعرض داءما هجمه عسر عصابه ٱندهش حسسين ساذج طبع خوف ناس لص مساعد بوليس قبض ركوب الاتوبيس متجه قريه سمع طلقه رصاص حاول حسين تشجيع ناس تكلم حر قروي لص عسر رغم صعود رجل بوليس الاتوبيس خوف ناس عسر تجاهل رجل بوليس عرف حسين اخبر قروي مجاور عسر ضربه ٱعتذر عسر قذف موجه حسين عصابه عسر نوي قتل عماد رغم حماقه خطر عديد سبب انقاذ بلد ذٰلك عسر ٱنتقم رحب عماد حسين دار عرف تهنءه ٱبن عماد معتقد خادم خادم اصم ٱعتقد ٱبن عماد ٱبن عماد محفوظ طالب حسين نصح مدير مدرسه زواج فتاه قريه ٱستقر اخبر تحدث عماد وافق زواج ٱبنه حسين رفض اساس فتاه اصم ذٰلك عماد عماد رجل عدو اضاف عسر عصابه عضون قتل عصابه عسر عماد طلب تهنءه حسين ٱنتقام موت والد نصح ٱنتظر حتي قبض بوليس اخذ عدل مجري عصابه عسر خطه ٱنتقام حسين ٱستغل قيام رحله طالب رعي مهاجم طلب طالب تفرغ بدا هجوم رد عصابه رد مفرد تلميذ القاء حجار اجبر خروج مخبا اهل حدث ابناء مسلح وصل بوليس حسين صارع عسر عسر اطلق طلقه اصاب حسين اطلق بوليس رصاص عسر لقي حتف عاش سلام,"فريد شوقي,عايدة هلال,محمود المليجي,زكي محمد حسن (زكي الحرامي),علي عرابي,سيد العربي,دنجل (عجمي عبدالرحمن),إسكندر منسي,أنور مدكور,محمود عقل,عبدالحميد بدوي,محسن حسنين,عمر عفيفي,إمتثال زكي,حسين إسماعيل,محمد حمدي,إبراهيم عمارة,علي رشدي,عباس الدالي,طوسون معتمد,وداد حمدي,ناهد صبري,محمد شوقي,محمود مختار,فوزى درويش,كوثر رمزي,سمير عارف,عبدالغني النجدي,ابتسام عبدالعزيز,علي كامل,سمسم,علي المعاون","طلبة رضوان,كامل عبدالسلام,محمد كامل عبدالسلام","السينمائيين المتحدين,ابراهيم والى,سيد والي,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)","محمود فهمي,الاستوديوهات العربية,محمود بكر","حسين أحمد,جميل عبدالعزيز,مارسيل صالح","عبدالمنعم شكري,نجيب خوري,جمال مرسي",nan,"صلاح عبدالحميد,فؤاد الظاهري,عصمت عبدالعليم,سيد مكاوي,محمد العربي,ابتسام عبدالعزيز,حسيب غباشي,فتحي قورة","طلبة رضوان,أحمد شاهين","السينمائيين المتحدين,المتحدة للسينما (صبحي فرحات)"
لا وقت للحب,1963,رومانسي,110,دار حدث فيلم راوند وقع حادث حريق قاهره عرف حمزه مهندس عضو متطوع حرس قومي مدرسه دعا فوز ٱندلاع حريق حاول انجليز قبض افه متطوع حرس قومي فيختبء حمزه صديق ساعد فوز ملك حاول اخري تشكيل خليه خاص ضرب قوه انجليزي منطقه قنال,"خيري القليوبي,صلاح جاهين,فاتن حمامة,عبدالله غيث,بدر نوفل,رشدي أباظة,ليلى نصر,عز الدين إسلام,أحمد لوكسر,علية فوزي,سمير عارف,عصمت محمود,إبراهيم قدري,أحمد توفيق,عبدالحميد بدوي,جورج يوردانيدس,حسين قنديل,كامل أنور,سميحة محمد,حافظ أمين,أحمد شوقي,علي المعاون","لوسيان لامبير,يوسف إدريس","أديب جابر,دينار فيلم",عبدالحليم نصر,كمال أبو العلا,حلمي عزب,nan,فؤاد الظاهري,"صلاح أبو سيف,أحمد السبعاوي",nan
الساحرة الصغيرة,1963,رومانسي,88,ري هني سعاد حسني والد طفوله تالي عرف شكل ٱضطر صديق والد عصم الدرملي رشدي اباظه كذب خبر والد عصم دمنهوري اخبر والد حقيقي سعيد ابو بكر تالي هني تعامل عصم الدرملي والد والسءال متي هني جهل سر كشف حدث,"رشدي أباظة,سعاد حسني,مديحة يسري,فؤاد المهندس,سعيد أبو بكر,أنور مدكور,خيرية صدقي,مصطفى عبدالله,رشدي المهدي,عبدالنبي محمد,محمود رشاد,عبدالغني النجدي,الطوخي توفيق","محمود إسماعيل,عبدالحي أديب,السيد بدير","منير رفله,عبدالمسيح","وحيد فريد,محمود سابو ","عبدالعزيز فخري,ليلى فهمي,محيي الدين أحمد,محمد الزرقا","ماهر عبدالنور,ستوديو نحاس (النيل),نجيب خوري",عبدالوهاب علي,"محمد فوزي,ميشيل يوسف","نيازي مصطفى,محمد الهواري,شريف حمودة",الشرق لتوزيع الأفلام
رابعة العدوية,1963,سيرة ذاتية,125,قصه حياه زاهد صوفي العدويه فر بصره جاري سيد عصام دين مقتل يد سيد خليل جاري متصوف ثوب دل طريق صحيح حياه حالي عبث قرار صمود تعذيب خليل حتي وفاه,"نبيلة عبيد,فريد شوقي,عماد حمدي,حسين رياض,عبدالله غيث,سلوى محمود,عبدالغني قمر,حسن حامد,شريفة ماهر,سامية رشدي,إبراهيم عمارة,نظيم شعراوي,زوزو نبيل,خالد العجباني,محمد صبيح,فيكتوريا كوهين,عمر عفيفي,علي قدري,عباس رحمي,بدر نوفل,أحمد سعيد,محمد أباظة,محمد الهواري,إبراهيم رمزي,علي رشدي,سعاد محمد,عبد المنعم سعودي","عبدالفتاح مصطفى,سنية قراعة","منير حلمي رفلة,أفلام حلمى رفلة","فارس وهبة,ابراهيم عادل",جلال مصطفى,"شادي عبدالسلام,نجيب خوري,كوستا",إيفون ماضي,"محمد الموجي,رياض السنباطي,أم كلثوم,فؤاد الظاهري,طاهر أبو فاشا","نيازي مصطفى,شريف حمودة",nan
منتهى الفرح,1963,استعراضي,125,مجموع جندي مصري حرب يمن منعم حسن يوسف خاطب وعد ليل عرس جميل شيخ حسن امين الهنيدي متردد قهوه معلم عبده والد نادي مها صبري خطيب منعم دعا شيخ حسن علاقه فنان كبير حضر عبد وهاب ام كلثوم حفل زفاف نادي نجوي فءاد دعا شيخ حسن معرفه ٱكتشف عرف نجوي قرر ذهاب حفل اكرام جندي العاءدين,"صباح,ناهد صبري,قطقوطة,أمين الهنيدي,حسن يوسف,محمد رضا,أحمد نبيل,جورج سيدهم,سمير غانم,فريد الأطرش,مها صبري,شادية,الضيف أحمد,سميحة محمد,أسامة رؤوف,علي عرابي,محمد عبدالوهاب,فايزة أحمد,علي كامل,نجوى فؤاد,عبدالوهاب الدوكالي,حسين إسماعيل,أحمد الحداد","محمد سالم,جليل البنداري","المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى),محمد عبدالجواد","وديد سري,عبدالحليم نصر,فارس وهبة,علي خير الله",حسين عفيفي,شادي عبدالسلام,nan,"أحمد رامي,حسين السيد,عبدالوهاب الدوكالي,فريد الأطرش,محمد الموجي,محمد عبدالوهاب,حيرم الغمراوي,مرسي جميل عزيز,عبدالرحمن الخميسي,صلاح فايز,محمد حمزة,بليغ حمدي,يوسف شوقي","محمد سالم,عبدالعزيز جاد",nan
شقاوة بنات,1963,دراما,85,نجح ولد شيخ سالم مشرف مزرع محمود ثانوي قرر ادخال جامعه قاهره لجا شيخ سالم محمود مساعد عارض كره تعليم ولد لاح قرر زوجه شيخ سالم بيع ارسل ولد ابراهيم جامعه غضب محمود طل شيخ سالم ارسال ٱبنه امال عمل خادم قصر رغم توسل بكاء والد امال ٱضطر ذهاب عمل خادم رغم طفوله لعب ٱبن محمود حسام واعد حب خالد خادم ٱختار والد شن شن ٱبن الازمرلي باشا رءيس وزير هٰذا زواج ٱستطاع محمود حصول مال ثراءا غضب امال لرءيه حسام صديق طفوله تقدم خطبه شن شن سب ثني تنزه حسام محمود جلد هرب ركب قطار قاهره بحث اخ اخوه ابراهيم فتح شك سندوش فول طعميه داخل جامعه تدبير مصروف زميل جامعه ساعد جاء امال عمل عرف سرعه صديق اخ سار موضه حتي اخ ابراهيم عرف عرف حسام صديق طفوله طالب جامعه صديق دبر حسام حيله اذ ٱلتقي فتاه ابلاغ اخ اتي ضرب ناحيه اخري احب حسام امال صوره جديد اراد ٱعترف حب جاء ملبس لاح كشف شخص رغم ثار بدايه موقف تقدم نهايه اخ ابراهيم طالب يد رغم معارضه شيخ سالم محمود حب كسب نهايه مطاف,"سعاد حسني,أحمد رمزي,يوسف فخر الدين,نوال أبو الفتوح,حسن فايق,عدلي كاسب,نادية النقراشي,إنجى إسماعيل,حسين عسر,كريمة الشريف,مختار أمين,سميرة محسن,فتحية علي,قدرية كامل,أبو بكر عزت,عباس الدالي",عدلي المولد,"عدلي المولد,جمهوريّة فيلم",مسعود عيسى,"حسين عفيفي,مارسيل صالح",nan,nan,nan,"حسام الدين مصطفى,طلعت علام",منتخبات بهنا فيلم
بطل للنهاية,1963,حركة,100,حافظ امين رءيس جمعيه خيري رعايه طفل متخذ ساتر نشاط اﻹجرامي ٱرتكز ٱختطاف طفل رد مبلغ ضخم عاني مهندس احمد عبده تهديد عصابه مستمر ٱختطاف ٱبنه قرر ٱستسلام ابلاغ شرطه ٱستعان مجرم سابق ٱنضم عصابه غرض كشف امر,"فريد شوقي,ليلى طاهر,محمود المليجي,توفيق الدقن,نظيم شعراوي,محمد الدفراوي,هيلين,زين العشماوي,خريستو كلاداكيس,عبدالبديع العربي,عبدالعزيز أبو الليل,بدر نوفل,إكرام عزو,أحمد مرسي,فايق بهجت,محسن حسنين,ناهد سمير,لطفي عبدالحميد,وجدي العربي,علي رشدي",علي الزرقاني,"إيهاب الليثي,أفلام جمال الليثي","كليليو (ك. ستشفللي),البير رياض","حسين أحمد,انجا وميلا","أنطوان بوليزويس,دنجل (عجمي عبدالرحمن)",nan,nan,"حسام الدين مصطفى,طلعت علام",دولار فيلم (إسماعيل الكردي وأولاده)
القاهرة في الليل,1963,كوميدي,100,حاول ثلاثي ضوء مسرح ضيف سمير جورج فنان ٱنشغال تءجل ثني تواجد مبني تلفزيون عديد مغامره ٱعتقاد حارس تلفزيون سعي طرد قابل مطرب شاديه فايزه احمد مها صبري نجا صغير راقص نجوي فءاد اداء فقره فني,"شادية,صباح,نادية لطفي,فؤاد المهندس,مها صبري,ليلى طاهر,حسن فايق,كامل أنور,محمد قنديل,عبدالوهاب الدوكالي,فايزة أحمد,سمير غانم,جورج سيدهم,الضيف أحمد,سامية رشدي,مديحة حمدي,مهجة عسكر,زينب نصار,إنجى إسماعيل,أحمد نبيل,نجاة الصغيرة,رجاء الجداوي,نجوى فؤاد,ليلى شعير,ماريز,بثينة سالم,حسني خضر,فاروق فلوكس,ناهد صبري","محمد عثمان,محمد سالم",nan,"على حسن,وحيد فريد,عبدالعزيز فهمي",حسين أحمد,عبدالمنعم شكري,nan,"بليغ حمدي,محمد الموجي,علي إسماعيل","محمد سالم,عبدالعزيز جاد",nan
عائلة زيزي,1963,رومانسي,90,زيز طفل عمر شيطان لسان طويل تدخل شيء تقدم رد عاءلتها هٰذا حجر سبعاوي اطلق ورشه مكن ٱختراع سبعاوي وضع قطن جانب خرج قماش جانب اخر هٰذا حجر سامي طالب جامعه داءما منزل قميص مزق اثار مشاجره هٰذا غرفه سناء حواءطها ممتلءه صوره ممثل داءما مر تردد عمل درامي مشهور اراد نجم تلفزيون خطبه سبعاوي فوز ٱبن الشبراوي مهندس غزل نسيج مشهور ٱهتمام سبعاوي مكن خطيب قلب مقسم مكن سامي احب ليلي جار اقام والد لعب اليوجا ٱقترب بدا ممارسه لعب سناء نجح وصول يوسف حسين مخرج سينماءي اراد بدايه ٱستغلال حذر والد اخ عمل اخت سينما انكر زي كومبارس دخول استوديو مراقبه نجح منع ممثل تقبيلها كامرا اعجب يوسف سناء طلب زواج بدا مكن سبعاوي تصنيع قماش عرض حماه عمل سنه قرر سامي زواج ليلي وافق زواج بقي زيز صغير اذ مشكله اتي,"سعاد حسني,فؤاد المهندس,إكرام عزو,عقيلة راتب,ليلى شعير,أحمد رمزي,سلوى سعيد,محمد سلطان,عدلي كاسب,سهير زكي,إبراهيم فتيحة,حسين قنديل,الطوخي توفيق,عمر عفيفي,فيفي يوسف,صالح الإسكندراني","لوسيان لامبير,السيد بدير","دولار فيلم (إسماعيل الكردي وأولاده),عباس حلمي","محمد عبدالعظيم,عادل عبدالعظيم","فكري رستم,مارسيل صالح,فتحي داود","الاستوديوهات العربية,عباس حلمي,عبدالمنعم على,عبدالحميد السخاوي",nan,يوسف شوقي,"فطين عبدالوهاب,أحمد السبعاوي,عبدالفتاح مدبولي",nan
فتاة شيطانة,1964,nan,-,حي فتاه حياه فساد مجون مصاحبه رجل موسر وزير دبلوماسي عاون طبيب عمل قاءد حاكم طبيب حاول فتاه دفاع ٱتهام مجتمع ظرف اد سقوط,"عبدالخالق صالح,محمود المليجي,عادل أدهم,توفيق الدقن,ميمي شكيب,يوسف فخر الدين,رشدي أباظة,أحمد رمزي,شويكار","عدلي المولد,نبيل غلام",nan,فيكتور أنطون,nan,nan,nan,nan,أحمد ضياء الدين,nan
عقد اللولو,1964,nan,100,سالم مزرع بسيط احب بنت قريه دور اراد زواج طماع ارض وقع يد رساله ظن مكتوب حقيقه مكتوب حقيقه كاتب غوار مهجر حمل عقد اللءلء دار مشاجره سالم خصم قطيع شرس ارض ٱمتلك دور جوار سالم غوار اهداء عقد اللءلء دور ليل زفاف سالم سينما سوري,"صباح,فهد بلان,دريد لحام,نهاد قلعي,يسرا البدوية,صبري عياد,ملك سكر,أنطوان زخور,محمد العقاد,شارلوت رشدي,أحمد عداس,إبراهيم كروية,محمود المصرى,إغراء,فتنة,أحمد تاج الدين الشيخ","دريد لحام,يوسف معلوف,  محمود نصير,نهاد قلعي","ستوديو سيريا فيلم,نادر الأتاسي",محمد الرواس,اميل بحرى,سعيد النايل,nan,منوعات,"يوسف معلوف,خلدون المالح",nan
عفرة وبدر,1964,nan,100,ملخص,"برلنتى حميد,صفاء محمد على,رجاء عبدالعزيز,سلمى عبدالأحد,ياس علي الناصر ",فالح عبدالعزيز الزيدى,أفلام دنيا الفن,"نهاد علي,عبدالله سلمان",حيدر العمر,nan,nan,nan,فالح عبدالعزيز الزيدى,nan
شادية الجبل,1964,nan,110,صحيفه منير صديق مصور حسن اوكل مهمه صحيفه القباءل بدوي توصل قطع طريق غامض سمي ابو الدهب شاهد وحيد عمليه اجرامي نجح صحيفه عصابه تولي فرار عثر فتاه بدوي ٱبن شيخ ابراهيم لٰكن عرف اخت ليلي ٱختطاف عصابه نجح انقاذ ليلي شكر شيخ ولد قصه حب منير حسن ليل وعد تزويج ٱبن عم ناصر ساعد عصابه هجوم قبيل منير ٱستعان قوه شرطه دار معركه تمكن منير انقاذ خطر سينما لبناني,"فريد شوقي,ربيعة عز الدين,برلنتي عبدالحميد,محمود المليجي,حسن يوسف,نجوى فؤاد,توفيق الدقن,نصير قرطباوي,حسين رياض,محمد أباظة,حسين إسماعيل",أحمد ضياء الدين,"أفلام يحيى إبراهيم,مؤسسة السينما,فواز إخوان","ابراهيم عادل,عبدالمنعم بهنسي,مكرم سالم,محمد طاهر","كمال فهمي,فاروق شحاته,ليلى فهمي,حسين عفيفي,وديع شفيق","محمود خليفة,حبيب خوري","بهجت الحلبي,حبيب خوري","ربيعة عز الدين,علي إسماعيل,عبدالحليم نويرة,عبدالجليل وهبي,عبدالغني النجدي,رياض السنباطي","أحمد ضياء الدين,إسماعيل حسن",nan
أفراح الشباب,1964,رومانسي,-,عمل صديق فءاد كمال قصر الماركيز فخم عرف فتاه سعاد امل شقيق الماركيز ٱكتشف سعاد حقيقه فءاد حاول امل تعاون كمال اعاده عاشق مره اخري القي فءاد درس نسي ذٰلك ايهام فءاد وجود علاقه سعاد كمال,"صباح,فهد بلان,إحسان صادق,عبدالسلام النابلسي,يوسف حسني,جاكلين,خالد قرانوح,فوزي الكيالي,نزهة يونس,نادية جمال,زين الصيداني","سيد المغربي ,محمد سلمان",nan,nan,nan,nan,nan,nan,محمد سلمان,nan
العسل و المر,1964,دراما,90,ملخص,"رندة,إبراهيم خان,موفق بهجت,جاكلين,صباح العمري,سعاد فخرى,نعيمة الإسكندراني,سمير شمص,أحمد بديعة,وئام الصعيدي,كلير سعد,كواكب,زين الصيداني,برنار مسكاوي,افهام السيد,سامي مقصود,سهيل نعماني","هول كين,رضا ميسر,احمد عزت",محمد علي الصباح,برونو سالفي,ميشال تامر,nan,nan,منتخبات عالمية,"رضا ميسر,وئام الصعيدي",nan
مسرحية الملك أوديب,1964,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
يا ليل,1964,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,جاري جرابديان,nan
الرسالة الأخيرة,1964,nan,95,صدم سميره وفاه اب لذيذ تقرر ٱنتقام قتل عرف وراء جريمه رءيس عصابه فتش ورق اب عرف كثير سر عصابه عمل تهريب مخدر سعي زعيم عصابه عون مسمي حسين حصول ورق دان حاول طرف اوقع اخر هرب سميره ٱلتقي حسين عرف هوي سعي حصول رساله اخير شعر حب قرر وقوف مناهض زعيم عصابه بلغ حسين شرطه ابي اعلن حقيقه رءيس عصابه ايقاع تزوج حسين سميره,"مديحة سالم,يوسف فخر الدين,توفيق الدقن,سميرة محسن,محمد صبيح,أحمد شوقي,فتحية علي,حسين إسماعيل,محسن حسنين,إكرام عزو,سامي سرحان,أحمد الحداد,زينب نصار,عبدالمنعم بسيوني,محمد إدريس,نادية حمدي,زكي محمد حسن (زكي الحرامي),عبدالعظيم كامل,رشاد إبراهيم,مختار السيد,عبدالعظيم شعلان,زينب محمد,أحمد أبو عبية",محمد كامل حسن المحامي,فيلمنتاج,"فىستوديومصر,جمال عبادة,فيكتور أنطون",فتحى قاسم,"أنطوان بوليزويس,عجمي عبدالرحمن",nan,"محمد كامل حسن المحامي,فؤاد الظاهري",محمد مفتاح,nan
مسرحية الفانوس,1964,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
الابن المفقود,1964,nan,95,افقد شيخ عبدالفتاح ٱبن صغير صغير توقف بحث سنه شيخ رجل ثري حاول بحث ٱبن ثمن اخ اسماعيل طمع ثروه رحيل بحث مضني عثر اب ٱبن اعلن حقيقه خوف اسماعيل خلص قرر اسماعيل اتي شاب مواصفه ٱبن الضاءع قدم وخي حصل مكافاه تمكن اسماعيل طريق رجل عثر ضال حسين شاب اتي تمثيل دور ٱستقبل شيخ عبدالفتاح ترحاب ليل اخبر حسين حقيقه منح عبدالفتاح مكافاه سخي اعلن حقيقه اسماعيل قتل وخي نسب جريمه حسين سميره خطيب حسين دفع اخ خالد محامي دفاع حسين فعل اثبات براءه قبض اسماعيل رجل حسين سميره قاهره تزوج,"أحمد رمزي,نجوى فؤاد,حسين رياض,آمال فريد,أحمد الحداد,عزيزة حلمي,عبدالخالق صالح,محمود الحديني,سامي سرحان,محمود العراقي,عبدالغني النجدي,حسين إسماعيل,إبراهيم الشامي",محمد كامل حسن المحامي,"كامل الحفناوي,فيلمنتاج",عبدالمنعم بهنسي,"مصطفى مختار,ليلى فهمي","عبدالحميد السخاوي,حسين الشريف (حسين شريف),إبراهيم سيد أحمد",nan,nan,"محمد كامل حسن المحامي,إسماعيل حسن",nan
مسرحية التمرجي المرح,1964,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
العائلة الكريمة,1964,nan,85,اب فتاه سكن ام حي شعبي تزوج رجل فقير صلاح ارض عيش تقرر مر رحيل استنبول عرف رجل ثري ساعد امر مرموق مجتمع مطرب مشهور ثري تركي مصر ذٰلك محاوله طلب طلاق صلاح حتي تزوج ثري زوج قرر تاديب زوجه طلب ام بيت طاعه نجح تهذيب مر اعاده طبيعه نجح ام ٱكتشف ثري تركي خديع قرر عود بلد زوجه تنازل مكان ٱجتماع شهر زوجه صالح عاش سعيد صلاح قرر ام حياه,"هدى سلطان,فريد شوقي,ماري منيب,عادل أدهم,أحمد خميس,محمد الديب,محمود لطفي,جيهان عبدالرحمن,محمد شوقي,كامل أنور,أنور مدكور,محسن حسنين,حسين إسماعيل,زينات علوي,فايزة عبدالجواد,أديب الطرابلسي,حسن أنيس,مطاوع عويس,أمال رمزي,مختار السيد,صالح الإسكندراني,ليلى يسري,سامي سرحان,الطوخي توفيق,فتحية علي,علي المعاون,علي عرابي","بديع خيري,نجيب الريحاني,عبدالحي أديب,بهجت قمر","الشركة العامة للإنتاج السينمائي العربي,سعد شنب,مصطفى جبر","كمال كريم,صلاح كريم","حسين أحمد,محمد الزرقا,كمال فهمي","ماهر عبدالنور,ستوديو نحاس (النيل),حسين الشريف (حسين شريف)",nan,"ميشيل يوسف,محمد فوزي,فتحي قورة,هدى سلطان","فطين عبدالوهاب,صالح فوزي",دولار فيلم (إسماعيل الكردي وأولاده)
لعبة الحب والجواز,1964,رومانسي,87,تقرر امير ٱنتحار القاء نيل سءمت عود مطلق ٱستطاع مقاومه اغراء انقذ عباس ساءق تاكسي اخر لحظه طلب عمل منع عود مطلق فاجا عباس عود علاقه امير مطلق شاجر ٱكتشف سعي ٱستيلاء ثروه امير قرر والد امير زوج شخص مسن احب هرب امير منزل تقرر مره اخري ٱنتحار قابل عباس انقذ صارح حب,"سعاد حسني,فريد شوقي,محمد رضا,سمير صبري,سهير البابلي,ليلى فهمي,إلهام بديع,كوثر العسال,حسن حامد,حسن مصطفى,محمد شوقي,صالح الإسكندراني,سامية رشدي,حسين إسماعيل,عبدالحميد بدوي,حافظ أمين","بهجت قمر,عبدالحي أديب",منير رفله,وحيد فريد,nan,nan,nan,nan,نيازي مصطفى,nan
أمير الدهاء,1964,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,130,عاش حسن هلال والد شيخ فاضل خطبه اجمل فتاه بلد ياسمين عدو متولي جعفر شاهين بلغ شرطه كذب تامر والي دخل سجن سنه طويل محكمه سجن عرف جدار زنزانه رجل عجوز جلال ٱعتبر ٱبن دل مكان كنز ضخم خارج مات جلال حسن هروب عثر كنز رجل غني قادر بلد مره اخري ٱنتقم غدر,"فريد شوقي,شويكار,توفيق الدقن,نعيمة عاكف,محمود مرسي,عمر عفيفي,حسين عسر,عبدالرحيم الزرقاني,أحمد شوقي,أحمد لوكسر,حسن البارودي,خديجة محمود,عبدالمنعم بسيوني,كمال إمام,سيد العربي,باهر سليم,مديحة عبدالحليم,شهرزاد,أبو الفتوح عمارة,شلاضيمو,إبراهيم حشمت,محمود فرج,كنعان وصفي,حسين إسماعيل,شفيق نور الدين,عبدالعليم خطاب,محمود الحديني","يوسف عيسى,هنري بركات,ألكسندر دوماس الأب","عبدالله بركات,وليم رزق,هنري بركات","محمود نصر,فارس وهبة,صلاح وهبه","عبدالعزيز فخري,محيي الدين أحمد,مارسيل صالح",جمال مرسي,"شادي عبدالسلام,إيفون ماضي","ميشيل يوسف,حسن أبو زيد,شهرزاد,محمد قنديل,الثلاثي المرح,أحمد صدقي","هنري بركات,حسن ابراهيم",nan
مع الناس,1964,nan,100,ٱستدعي الفرماوي مهندس رفعت شاكر ناقش تصميم عماره جديد اراد تقليل مساحه حجر الغاء شرف حتي ٱستفاد اكبر قدر ممكن عماره جديد رغم ٱمتلك شركه عقار كبير عديد موظف ٱبن كمال حصل ليسانس حق نسب نجاح ٱبن توفير مصروف محامي الفرماوي عماره قديم حي شعبي سلم بدا سقوط وشك ٱنهيار اراد اخلاء منزل هدم بناء عماره مكان دري دخل كبير رفض مستاجر منزل كلف ٱبن كمال ٱتخاذ اجراء قانوني منزل كمال صله عز ورءيسه جمعيه خيري كمال احب حاول والد راي عماره فاءده وقع زلزال سقط عماره جيد بقي منزل نجح كمال اخير اقناع والد ايقاع عماره تزوج عز,"سميرة أحمد,حسن يوسف,عماد حمدي,محمد العزبي,هالة الشواربي,أميرة,عبدالنبي محمد,عبدالحميد بدوي,زكي إبراهيم,عبدالغني النجدي,فتحية علي,فتحية عبدالغني,محمد إدريس,صفا الجميل (صفا محمد),كمال الزيني,عبدالسلام محمد,إنجى إسماعيل,فتحية طاهر,فوزية إبراهيم,عصام عبده,محسن العدجى,ليلى نصر,زهور,رجائى,ناجي كامل,عبدالمنعم عبدالرحمن,عباس الدالي",حسين عبدالنبي,"توفيق الصباحي,ستار فيلم (توفيق الصباحى)",ضياء الدين المهدي,"حسين أحمد,مارسيل صالح","ستوديوهات جلال,حلمي عزب,نجيب خوري",nan,nan,"كمال عطية,جمال الدماطي",nan
فتاة الميناء,1964,دراما,105,قريه صياد قرب رعي البرلس راوند فاطمه سنه ثني ركوب الكارته رجل قاوم موج انقاذ حسن صياد صغير قريه عيد غرق مركبه ماء قريه فاطمه انقذ حسن غريب اثار محجوب ٱبن عم خطيب حاول ٱستدراج حسن نزاع هدد قتل خاص ٱعتبر قوي رجل قريه جمع مجموع شرير توسل فاطمه حسن قريه اسرع وقت لٰكن فضل بقاء جوار فاطمه ٱستاجر شقه محجوب شقه خطيب فاطمه اطلق رصاص لمبه جاز وضع حسن شقه لعب فصل حسن برتقال لمبه جوار محجوب حجر فاطمه سر شجره ٱنتصر حسن ٱستطاع فاطمه اقناع حسن مغادره قريه حق تزوج سعي محجوب عم شيخ توفيق تحديد ميعاد زواج فاطمه هرب حق محجوب حصان اطلق نار قريه دعا انقذ شرف العاءله فوجء حسن ٱنتظر فاطمه بوليس قبض اهم قتل تهريب البضاءع افرج خاص بوليس انقذ فاطمه عرف حسن فتاه دعا فاطمه عمل ٱنضمام عصابه تهريب خاص هٰكذا عصابه حسن عصابه محجوب ساعد شيخ توفيق بوليس قبض عصابه محجوب ساعد حسن قبض عصابه راس ظاهر تزوج فاطمه,"فريد شوقي,ناهد شريف,محمود المليجي,سعيد خليل,سميرة محسن,لطفي عبدالحميد,علي كامل,خالد العجباني,أحمد مرسي,نجوى فؤاد,نصر سيف,عبدالعزيز أبو الليل,صالح الإسكندراني,أبو الفتوح عمارة",يوسف جوهر,كامل الحفناوي,"كليليو (ك. ستشفللي),عادل عبدالعظيم,غنيم بهنسي","حسين أحمد,عاطف صبرى,ليلى فهمي","حلمي عزب,نجيب خوري,الاستوديوهات العربية",nan,nan,"حسام الدين مصطفى,طلعت علام,نجيب إسكندر",عبدالرحيم يزدي
