اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
أجازة نص السنة,1962,دراما,105,اشرف زينب زراعه ارض ٱمتلك ريف تسديد مصروف جامعه شقيق حسين اجازه نصف حضر حسين زميل عزبه شقيق زينب تدريب ٱستعراض راقص ٱشتري مسابقه سنوي جامعه وقع زينب حب احمد مشرف فرقه راقص,"ماجدة,محمود رضا,عبدالعليم خطاب,محمد العزبي,حسن عفيفي,هناء الشوربجي,ثريا فخري,زيزى رضا,سميرة تيسير,عباس الدالي,حسين إسماعيل,ماجدة رامز,فرقة رضا,مطاوع عويس,عبد المنعم سعودي,نيفين رامز,عبدالمنعم إبراهيم,محسن حسنين,فريدة فهمي",محمد عثمان,اتحاد السينمائيين,"عبدالعزيز فهمي,عبدالمنعم بهنسي","حسين أحمد,مارسيل صالح","جمال مرسي,ستوديو نحاس (النيل),نجيب خوري",فرقة رضا,علي إسماعيل,علي رضا,المتحدة للسينما (صبحي فرحات)
صراع الجبابرة,1962,حركة,100,ليلي راقص يهودي كثير معجب فريد شاب ثري عاني فراغ توجه فلسطين عرف زميل راقص جوهر متزوج حمايه زميل سمبل رفض جوهر دفع كسب مال زوج حاول دبر ميناء قتل فريد سرقه توالي حدث,"أحمد مظهر,نادية لطفي,محمد حمدي,يوسف فخر الدين,خليل بدر الدين,جواهر,إستيفان روستي,توفيق الدقن,زين العشماوي,سعيد خليل,صلاح المصري,ليلى مجدي,محمد أباظة,أديب الطرابلسي,شكوكو الصغير,سونا علم الدين,مصطفى شميس,إلهام شوقي,كامل أبو السعود,إبراهيم كامل,ميمي جمال,سهيل كنعان,صلاح عطية,خيري القليوبي,عبدالمنعم عبدالرحمن,عبدالرحمن المصرى,بندق حسن,لولا علم الدين,محسن عطية",زهير بكير,"أفلام أميّة,غريب عبدالعزيز","مصطفى حسن,عبده عبدالخالق,حسن احمد,جمال عبادة,روبير سعد","سلوى,وديع شفيق","حلمي عزب,احمد اللبودى,عباس عبدالرحمن,دنجل (عجمي عبدالرحمن)",أحمد الكسار,صلاح عطيه,"زهير بكير,ريمون نصور,زكي صالح",nan
حكاية غرام,1962,دراما,95,شريف شاب مخادع اينع عم مها ضحيه جمع ايراد عقار بدل وضع بنك ٱسم صرف راقص شيت شقيق امريكا ٱسم وجيه كتب بيروت ٱهتم امر شريف ٱختطاف وجيه ارسل زميل ٱسم سمير مطرب عمل حسس مها سعاده سمير لايحتمل خديع راوند طويل حاول انقاذ وجيه كشف حيله شريف مغامره وجيه هرب ٱكتمل سعاده فتاه تزوج سمير اخ,"مها صبري,محرم فؤاد,وحيد جلال,جوليا ضو,حسن المليجي,سيد المغربي ,أبو سليم الطبل,كوستي,اماليا عوض,محمد سلمان,مارون مراد,سمير معلوف,عبدالمحسن نجاد,نوال بدر,ملفينا أمين","سيد المغربي ,محمد سلمان",سمر فيلم,روبير طمبا,الفريد بحرى,جاك كيوفراك,nan,"سيد إسماعيل,ستانلي خوري,شبلي سمعان,محرم فؤاد,محمد سلمان","مصطفى جمال الدين,محمد سلمان",nan
آخر فرصة,1962,دراما,90,سيد مسعود عمل شركه تامين ٱزداد خساءرها سبب اغضب رءيسه سمح فرصه اخير اصلاح موقف انقاذ شركه افلاس سوء حظ لاعب ملاكمه يءمن حياه مبلغ قرر مسعود لعب مكان حتي اذي منتظر اصاب مباراه هٰكذا القي سيد كثير ضرب سبيل حمايه حياه عبده مجانص سوء حظ صدم سياره عاءد منزل جاء زوجه حصل مبلغ تامين افقد سيد امل قرر ٱنتحار نفذ خط اتي امر جميل هانم ارمله غني ام صبي ٱسم سمير عمر تقرر تءمن حياه ٱبن انقاذ سيد ٱنتحار امر سار سهوله طمح حرب السلحدار احسان السلحدار ثروه اب متوفي حاول زواج لٰكن رفض خطه قتل طفل حتي رثي نصيب ميراث والد حاول دبر حادث قتل الله ٱستجاب دعاء سيد مسعود مات طفل ٱفترق جل حافظ حياه طفل حتي افقد مال محاوله عديد خطف طفل ٱستطاع سيد انقذ حياه القي شرطه قبض اقرب زوج تزوج سيد ناهد زميل عمل ساعد حفاظ حياه طفل,"فريد شوقي,محمود المليجي,ليلى طاهر,شويكار,فاخر فاخر,محمود فرج,محمد رضا,علية فوزي,حلمي حليم,ناهد عزمي,زين العشماوي,صلاح المصري,محسن حسنين,عبدالعظيم عبدالحق,طارق كمال إسماعيل,أحمد لوكسر,جواهر","عبدالحي أديب,بهجت قمر,فاخر فاخر,فريد شوقي","سعد شنب,أفلام العهد الجديد","محمود نصر,مجدي سعد",حسين عفيفي,"ستوديو الأهرام (ستوديوهات الأهرام),ماهر عبدالنور,نجيب خوري",nan,nan,"نيازي مصطفى,السعيد مصطفى",nan
يا سلام عالحب,1963,دراما,116,فرقه ٱستعراضي واجه فشل افلاس صدفه اتي اخت مغني فرقه اخذ بلد اكمل تعليم جميل صوت ٱقترح مدير فرقه ٱشتري ٱستعراض لٰكن رفض طلب مدير فرقه رد فرقه فريد حب توافق فعل توافق نجح محاوله ٱشتري فرقه لٰكن ٱكتشف خدعه ٱكتشف فعل احب فريد احب,"ناظم الغزالي,عبدالسلام النابلسي,حسن علاء الدين (شوشو),فهد بلان,نجاح سلام,شفيق حسن,صابر أبو لبن,جاكلين,قوت القلوب,صلاح نادر,حسن المليجي,محمد شامل","محمد سلمان,  محمود نصير",محمود النمير,"روبير طمبا,روبير سعد,احمد محسن","اميل بحرى,نوال كوستى",ستوديو بعلبك,nan,"محمد محسن,عبدالفتاح سكر,عمر حلبي,ميشال طعمه,محمود نصير",محمد سلمان,nan
أيام زمان,1963,دراما,110,رفعت مراقب وزاره تموين رغم عمل مده حصل علاوه قدم ٱستقاله مفتش تموين اسماعيل صديق نصح بحث توصيه نساءيه صله اسماعيل طلب توسط زوج محمد راغب ناءب برلمان طرد منزل تعويض خاص ٱستطاع مواجهه,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
حياة عازب,1963,دراما,90,عاش عمر موظف شاب اعزب مفرد شقه سكن جوار هدي طالب جامعي عاش اسر صغير ربط حب قلب ٱتفق زواج والد هدي رفض عمر اصاب عمر احباط لاح صديق سهر ملهي ليلي عرف عزيز راقص ملهي مره شقه عمر جرب ٱختراع طبي خطا عقار موت وعي ٱعتقد مات مازق,"نادية لطفي,شكري سرحان,عبدالمنعم إبراهيم,يوسف فخر الدين,فؤاد المهندس,عبدالخالق صالح,ناهد سمير,نجوى سالم,عبدالغني النجدي,ليلى النحاس,محمد العزبي,إبراهيم قدري,حسين إسماعيل,كنعان وصفي,بوسي,حسن أنيس,سيد عبدالله,زكي صالح","أحمد هيكل,نجدي حافظ","سيد علي,افلام برج القاهره,رزق عبدالحميد","ابراهيم عادل,محمد طاهر,غنيم بهنسي,عبدالمنعم بهنسي","حسن الجنايني,مارسيل صالح,فكري رستم","اسحق فهيم,رداميس,نجيب خوري",nan,يوسف شوقي,"نجدي حافظ,زكي صالح",دينار فيلم
الحقيقة العارية,1963,رومانسي,115,دار حدث قصه امال ماجده عمل مرشد سياحي لٰكن مضرب زواج تجربه طلاق ام امال وفد سياحي زياره سد عالي وتءجل سفر ولايه متحد ٱلتقي مهندس احمد ايهاب نافع صدفه ٱقتراب وقوع حادث دخل احمد مناسب انقاذ ناقش امال احمد خصوص فكر حياه تقرر امال عود قاهره سفر امريكا ٱستكمال دراسه اعلي,"ماجدة,إيهاب نافع,سهام فتحي,فاتن الشوباشي,عبدالمنعم إبراهيم,سامية محسن,دولت أبيض,فتوح نشاطي,صلاح نظمي,عباس رحمي,عاطف مكرم,مختار السيد,فريدة فهيم,عبدالعظيم كامل","محمد عثمان,وجيه نجيب,إبراهيم الورداني",ماجدة,"عبدالعزيز فهمي,عبدالمنعم بهنسي",ألبير نجيب,nan,nan,علي إسماعيل,عاطف سالم,nan
على ضفاف النيل,1963,حركة,95,كوينتراو ٱبن اصغر رجل صناعه كبير باع مغامره عاطفي مستشار المءسسه حاول ابعاد يابان دور عالم رحل باريس قرر توقف بيروت عرف احسن يوريكو بحث اب طبيب مشهور عمل شرق اوسط ثني حرب عرف خبر مطار بيروت حقيبه شاب اخري اشبه قبض شرطه حقيبه ٱنتمي عصابه دولي تعامل كوينتراو عضو نشط عصابه باع حتي قاهره حاول ٱستعاده حقيبه ورق مالي هام قاهره عرف ليلي مطرب علبه ليل اخ فءاد عضو حركه وطني عرف ليلي حقيبه طلسم موعد ثوره ايران مغامره بحث طلسم مساعد مغني عرف شاب ياباني اب مات راوند تمكن اعاده طلسم عرف موعد مقبر ملك حتشبسوت مكان قرب دفن جثمان اب تدخل شرطه امر قبض عصابه ٱستكمل شاب رحله اوربا,"إيشيهارا يوجيرو,شادية,إيزومي أيشكاوا,كمال الشناوي,حسن يوسف,محمود المليجي,محمود عزمي,صلاح نظمي,محمد صبيح,محمد أباظة,عباس الدالي,زين العشماوي,مختار أمين,رشاد حامد,وجدي العربي,بدر نوفل","نوبووياماوا,محمد أبو يوسف","نيكاتسو,حلمي رفلة",يوشيرويامازاكى,حسن حلمي (حسنوف),"أنطوان بوليزويس,ماتسوياما",nan,nan,"كوناكاهيرا,أنور الشناوي",nan
الحسناء و الطلبة,1963,دراما,94,وصل متولي شاب قروي قاهره اتمام دراسه متولي متزوج سميره ساعد كمال ٱبن عم حياه قاهره طلب نانا راقص فاتن صديق دكتور جلال اعطي مكافاه مالي متولي ساعد معيشه اعجب نانا متولي تقرر زواج صاحب عمل ملهي اهمل دراسه طرد جامعه صمم كمال انقاذ,"شكري سرحان,حسن يوسف,عماد حمدي,شويكار,سهير زكي,سمير صبري,سميرة محسن,مختار أمين,محمد أباظة,إسكندر منسي,عبدالحميد بدوي,قدرية كامل,يكن حسين,سيد العربي,صالح الإسكندراني,رشوان مصطفى,سيد عبدالله,محمد الحلو,توفيق الدقن","عدلي المولد,ضياء الدين بيبرس,نبيل غلام","عبدالعزيز على,حلمى الجندى","كمال كريم,صلاح كريم","حسين عفيفي,مارسيل صالح,وديع شفيق,فاروق شحاته","جمال مرسي,نجيب خوري,عبدالمنعم شكري",نظيرة كامل,nan,"احمد ضياء الدين,إبراهيم المنياوى","جمهوريّة فيلم,فواز إخوان"
بياعة الجرايد,1963,دراما,-,باءعه الجراءد ماجده حب منافس منطقه يوسف شعبان حاول لفت نظر حتي تزوج نجح حياه جميل شريك حياه والد امين اقر خبر وفاه ثري كشف ٱبنه والد حقيقي قرر ماجده عيش نعيم والد عقب استحواذها جزء اكبر ميراث دفع اهل والد محاوله تفريق زوج اهل مستغل طيب سذاجه,"ماجدة,نعيمة عاكف,ليلى فوزي,يوسف شعبان,يوسف فخر الدين,سناء مظهر,نوال أبو الفتوح,سهام فتحي,آمال زايد,أديب الطرابلسي,إبراهيم حشمت,محمد سليمان,بليغ حبشي,جمال إسماعيل,حامد مرسي,عبدالغني النجدي,نبيلة السيد,عبدالمنعم بسيوني,عبدالنبي محمد,عبدالعظيم شعلان,حسين إسماعيل,محمد أباظة,سهير الباروني",nan,صوت الفن,مصطفى حسن,nan,nan,nan,فتحي قورة,حسن الإمام,nan
البدوية العاشقة,1963,دراما,-,عالم اثار مصري شاب جبل لبنان نقب لمح فتاه باديه جني حب تبادل حب نظر لٰكن خطبه ٱبن عم حاول شاب مصري خطبه اب اب رفض طبق تقليد قبيل جمع مصادفه عاشق بيروت عرف شاب زاف ٱبن عم حاول زواج خطف طارد رجل قبيل مات ٱبن عم رصاص ٱتهم شاب جريمه قاتل حقيقي لبث اظهر,"كمال الشناوي,سميرة توفيق,صلاح نظمي,نجوى فؤاد,سيد المغربي ,نصير قرطباوي,يوسف حسني,بهية أمير,ملفينا أمين,نادية حمدي,صباح العمري,فوزي الكيالي,صابر أبو لبن","بدر نوفل,بهجت قمر",nan,يوسف كرامة,nan,nan,nan,"فلمون وهبي,عبدالغني الشيخ,جميل العاص",نيازي مصطفى,nan
أميرة العرب,1963,رومانسي,100,جاب امير محبوب صديق زاد بلد بحث عروس علامه مميز وصل كوردستان انقذ امر قاتل لص سوي امير شاليه اعجب والد شجاعه محبوب قرر زوج محبوب ٱكتشف شاليه عروس منشود ٱعترف والد امر قرر زواج ملك رغم ٱعتراض شاليه شاليه نهايه محبوب ام,"وردة,رشدي أباظة,محمد عوض,وداد حمدي,فؤاد المهندس,عبدالغني قمر,رجاء يوسف,خالد العجباني,سعيد خليل,حسن حامد,حسين عيسى,علي رشدي,أحمد سعيد,عبدالخالق صالح,عمر عفيفي,شلاضيمو,ناهد صبري,حسين إسماعيل,محمد الحلو,عبدالحميد بدوي,كنعان وصفي","بهجت قمر,نيازي مصطفى","حلمي رفلة,منير حلمي رفلة","ابراهيم عادل,فارس وهبة,حسن البحيري","عبدالعزيز فخري,محيي الدين أحمد",نجيب خوري,"شادي عبدالسلام,إيفون ماضي,تسنيم عبدالمجيد","رياض السنباطي,علي مهدي,عبدالفتاح مصطفى,محمد الموجي,صالح جودت,كمال الطويل,علي إسماعيل,فؤاد الظاهري","نيازي مصطفى,شريف حمودة,السعيد مصطفى",أفلام الشرق
الليلة الأخيرة,1963,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,104,سهره متعب ٱستيقظ نادي برهان صادق ذاكره تزوج اكتوبر صلاح طيار شاب لٰكن ري نتيجه اشار ابريل شء حجر اني فرح موجود زوج اخت شاكر عامل عنف فتاه دعا سام نادي بماما شاكر نادي اخت فوز عرف ٱسم نادي مر عرف شيءا ٱتصل منزل والد اسكندري عاءله والد عاش سام ٱستعد لبس زفاف وبخ شاكر ٱستعد حفل زواج ٱبنه ٱستقبل تهنءه حاضر عريس ٱندهش معامله فجاه سهره رفض نامي جانب شاكر رفض صدق فوز فوز اخت متزوج شاكر ٱستغل سفر زوج اسكندري ٱصطحب بدا بحث منزل اسر ٱستطاع وصول فيلا صلاح مهر ولد انكر معرفه نادي برهان لٰكن تراجع اخبر خطيب مات نادي فوز ام سام ثني عبور طاءره جوار نافذه اغمي طلب شاكر عرض طبيب تعرض حادث بسيط ٱصطحب صديق العاءله دكتور مجدي وثق شرح حال شعر ذاكره ذكريات حالي سوي ذكريات اخت نادي عرض زوج تعرض طبيب نفساني رفض شاكر اساس فوز وشك جنون والد والد عاقل صدق شاكر حاول ٱنتحار انقذ دكتور مجدي عرض حال صديق دكتور عماد فوز مجدي اوضح شاكر قتل طلب مجدي دور مجنون سمح شاكر حجز مصحه دكتور عماد ٱعترف نادي حدث غاره ليل نهر منزل بحث مجدي خياط اخبر موجود فوز نادي شك نادي كذب منزل ٱعترف شاكر نادي لجا ٱبنه يتيم ام نادي ذاكره اقناع فوز ثار نادي شاجر دفع سرير وقع مغشي عرف مجدي حقيقه جري مسرعا نادي شعر خطر هدد انقاذ,"فاتن حمامة,أحمد مظهر,محمود مرسي,كمال ياسين,عبدالخالق صالح,مديحة سالم,أحمد شوقي,علية عبدالمنعم,قدرية كامل,فاتن أنور,عبدالمنعم عبدالرحمن,صالح الإسكندراني","يوسف السباعي,مرجريت واين,صبري عزت","جمال الليثي,حسن عبدالجليل,إيهاب الليثي","عبدالحليم نصر,مجدي سعد,محسن نصر",سعيد الشيخ,"ماهر عبدالنور,نهاد بهجت",nan,nan,"كمال الشيخ,جمال الدماطي",دولار فيلم (إسماعيل الكردي وأولاده)
المجانين في نعيم,1963,دراما,105,داخل مستشفي مجنون خرج قنديل باحث عمل جدي طالب شهاده عمل شجاعه اخبر حاصل شهاده عاقل دخل مستشفي ٱستطاع اثبات صحه عقل والد وفاه قرر ٱفتتاح مكتب علاج مشكله ناس بدا بحث عميل داخل بار عرف شريف عاطل رغم حصول بكلوريوس تجاره ٱحتال ناس ضحيه عزيز تويست راقص بار ودولت صاحب منزل سكن ناهد ٱبن معلم المدبح وعد زواج نجح عاش حساب ٱبن عم بطاطا فتاه ثري تضايق مشروع زواج قريب شريف اد عده مشاجره صديق تورط قنديل محتال اخر كمال انشا شركه فضاءيه دفع خمسماءه خدعه حاول خداع ليلي ٱبن دكتور ايوب قنديل تدخل حتي نجح زوج شريف عده مغامره ٱقتنع قنديل حياه مستشفي مجنون افضل مستشفي توسل بواب دخل خاص راي عالم عاقل يءكد مجنون نعيم,"إسماعيل يس,رشدي أباظة,زهرة العلا,شويكار,نجوى فؤاد,توفيق الدقن,إستيفان روستي,ميمي شكيب,حسين إسماعيل,محسن حسنين,عبدالخالق صالح,زينات صدقي,لطفي الحكيم,عبدالباقي حسنين,فرحات عمر (الدكتور شديد),فهمي أمان,نادية عزت,عبدالنبي محمد,محمد شوقي,عبدالمنعم إسماعيل,عبدالغني النجدي,عبدالسلام محمد,مختار السيد,عبدالمحسن سليم,علي المعاون,محمد إدريس,عباس الدالي,عبد المنعم سعودي,مطاوع عويس,عبدالعظيم كامل,منير الفنجري,ليلى حمدي,حلمي حليم","أبو السعود الإبياري,لوسيان لامبير","توفيق الصباحي,محسن فرجانى,ستار فيلم (توفيق الصباحى)",ضياء الدين المهدي,"فكري رستم,مارسيل صالح","نجيب خوري,جمال مرسي",nan,nan,"حسن الصيفي,جمال عمار","ستار فيلم (توفيق الصباحى),المتحدة للسينما (صبحي فرحات)"
المتمردة,1963,دراما,95,سوسن ٱبن رجل ثري وفاه والد اسرف والد تدليل تساهل تصادم ممثل ثني عرض مسرحي شراء ذكر عرض هدف حكم عرض ممثل كامل محمود مرسي ٱتفق كامل قدر سميح ايوب تلاعب سوسن ٱستفاد ايقاع شبكه وقع سامي احمد مظهر جرام سوسن لٰكن رفض تصرف اهوج مسءوله حاول سوسن تلاعب سامي هدف عرف مقدار حب كامل,"صباح,أحمد مظهر,نادية النقراشي,سميحة أيوب,محمود مرسي,فؤاد المهندس,عبدالخالق صالح,عزيزة حلمي,إدمون تويما,سمير صبري,حسين إسماعيل,عبدالعظيم كامل,سميحة محمد,مطاوع عويس,زكي عبدالمجيد,زكي محمد حسن (زكي الحرامي),عبدالمحسن سليم",ضياء الدين بيبرس,أفلام مصر الجديدة,"وديد سري,علي خير الله","فكري رستم,ناهد","أنطوان بوليزويس,عثمان حسين,نجيب خوري",nan,nan,"محمود ذو الفقار,عبدالعزيز جاد,إبراهيم المنياوى",nan
النشال,1963,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,85,كمال شل حافظ مبلغ كبير رساله دل صاحب حاجه ماساه مال اعاده قابل عفاف ارض اعجب شعر حب ٱستولي قيام كمال سرقه منزل مسروق ساعه نافع القي منضد خادم القي شيء زباله بدا ضابط ميشيل مراقبه كمال واقع دعا محمد حافظ مكلف متابعه زكي جاسوس مكلف نقل سر حرب تسجيل ميكروفيلم مخبا ساعه سرقه واسطه كمال هٰكذا كمال مراقب بوليس عصابه جاسوس قاءد مغامره عجيب كمال ضابط ساعه ٱحتوي معلوم امن قومي تعاون عرض حياه خطر عثور ساعه تسليم نجح فعل صرف مكافاه مالي ساعد عاش شريف زوجه عفاف,"سميحة محمد,طوسون معتمد,زيزي مصطفى,كامل أنور,سعيد خليل,عبدالغني النجدي,ميمي جمال,ناهد صبري,فريد شوقي,إستيفان روستي,عبدالمنعم إسماعيل,أحمد شوقي,فيكتوريا كوهين,حسين إسماعيل,عبدالمنعم بسيوني,ناهد سمير,عبدالحميد بدوي,إدمون تويما,عبد المنعم سعودي,الطوخي توفيق,شويكار,محمود المليجي,أديب الطرابلسي,مختار السيد","أحمد الملا,عبدالحي أديب,محمد أبو يوسف",عبدالرحيم يزدي,"البير رياض,عمرو الدويني,مصطفى حسن","كمال فهمي,حسين أحمد,ليلى فهمي,محيي الدين عبدالجواد","مصطفى عبدالله,ماهر عبدالنور,نجيب خوري,ستوديوهات جلال",nan,nan,"محمود فريد,بندق,حسن إبراهيم",عبدالرحيم يزدي
العريس يصل غدًا,1963,رومانسي,82,نجح عنايات هانم مصنع ملبس وفاه زوج اتاح عاش بنت سميره بكلوريوس تجاره كوثر ٱهتم فيزياء ليلي اعد ال سنه كسول غايه حلم تزوج حتي مدرسه حاج الله ملك مصنع ادار مد عنايات هانم اجمل قماش هٰكذا شاو علاقه حميم اعزب ٱقترح عنايات هانم تزوج تءجل رد برر جب تزوج بنت طلب حاج وخي فتح الله صديق ممدوح تقدم خطبه اخت ارسل تلغراف عنايات هانم اخبر عريس وصل سميره اخت كوثر رفض زواج هٰذا طريق وافق اخت اصغر ليلي ٱستقبال عريس ٱضطر فتح الله تقدم خطبه ضغط وخي قدم عنايات هانم ٱبنه صغير ليلي فتح الله اخت مختبءين فحص عريس اعجب فتح الله حاول خطف اخت بدا اظهر جمال شياكه اعجب فتح الله سميره دفع صديق ممدوح ناحيه كوثر تابع عده مغامره مفتعل تعارف تفاهم ٱنتهي فيلم زيجه ليلي مجبر اخذ طريق مدرسه,"أحمد رمزي,سعاد حسني,فؤاد المهندس,ليلى شعير,عماد حمدي,مديحة يسري,مديحة سالم,عدلي كاسب,كريمة الشريف,عبدالحميد بدوي","أبو السعود الإبياري,عبدالحي أديب,نيازي مصطفى","منير رفله,عبدالمسيح",كمال كريم,"ليلى فهمي,محيي الدين أحمد,محمد الزرقا,عبدالعزيز فخري","ماهر عبدالنور,ستوديو نحاس (النيل)",nan,ميشيل يوسف,"نيازي مصطفى,شريف حمودة,محمد الهواري","الشرق لتوزيع الأفلام,صبحي فرحات"
زقاق المدق,1963,دراما,125,دار عمل حميده شاديه فتاه يتيم طامح ثراء خطبه حلاق زقاق عباس حلو صلاح قابيل قرر سفر حصل مال ليفي ٱحتياج حميده سفر قاءد محترف فرج يوسف شعبان اغواء حميده تورط ٱنغمس حياه جديد نسي عباس اهل زقاق جمع صدفه مره اخري عباس قرر ٱنتقام,"شادية,صلاح قابيل,حسن يوسف,يوسف شعبان,سامية جمال,حسين رياض,عقيلة راتب,عبدالمنعم إبراهيم,عبدالوارث عسر,توفيق الدقن,محمد رضا,ثريا حلمي,عدلي كاسب,حسين إسماعيل,محسن حسنين,حسن البارودي,محمود شكوكو,حامد مرسي,عبدالمنعم بسيوني,بدر نوفل,زكى حسن,عواطف رمضان,محمد شوقي,جمال إسماعيل,مطاوع عويس,الضيف أحمد,نعمت مختار,بدر الدين جمجوم,إبراهيم قدري,سمير صبري,محمد الطوخي,سهير الباروني,فيكتوريا كوهين","نجيب محفوظ,سعد الدين وهبة,سيد طنطاوي","رمسيس نجيب,فاروق نجيب,أدوارد نجيب","على حسن,مكرم سالم","رشيدة عبدالسلام,محيي الدين عبدالجواد,سلوى","حلمي عزب,نجيب خوري,كوستا",فوزية حجازي,"حسين السيد,محمد الموجي,فتحي قورة,علي إسماعيل","حسن الإمام,أنور الشناوي",المتحدة للسينما (صبحي فرحات)
لبنان في الليل,1963,دراما,90,دار حدث فيلم شاب كتب خطاب قدم ٱنتحار حاول معلق حدث فيلم اقنع شاب عدول راي حدث ٱرتبط خط درامي خط اخر بانورامي اسلوب حياه عاصمه لبناني بيروت جال فيلم مختلف ملهي ليلي شاهد مختلف فقره فني ٱستعراضي تقدم,"صباح,جاكلين,سميرة توفيق,جان سعادة,عُليّة التونسية,رضا علي,حسن المليجي,نجاح سلام,هدى شمس الدين,نصري شمس الدين,نجوى فؤاد,داني طبارة",محمد سلمان,أفلام محمد سلمان,روبير طمبا,nan,nan,nan,nan,محمد سلمان,nan
الجريمة الضاحكة,1963,جريمة,94,دار حدث فيلم قالب كوميدي مخرج تلفزيوني حرض عم اخذ ثار اب مات لٰكن وافق كره ثار تزوج ليلي لٰكن رد العاءله اخري خرج سجن قتل حاول نصب فخ منزل يقتلهوتتوالي حدث,"أحمد مظهر,سعاد حسني,محمود المليجي,عبدالمنعم إبراهيم,ميمي شكيب,محمد رضا,سعيد خليل,عمر عفيفي,عبدالغني النجدي,محمد صبيح,حسين إسماعيل,عبدالمنعم إسماعيل,ثريا فخري,فتحية علي,محسن حسنين,إبراهيم حشمت,سيد عبدالله,شفيق جلال,هدية,إستيفان روستي,صالح الإسكندراني,أحمد لوكسر","كاترين كوك,عبدالعزيز سلام","افلام برج القاهره,صالح العوضى","ابراهيم عادل,مجدي سعد,محمد طاهر","فكري رستم,فتحي داود,مارسيل صالح","أنطوان بوليزويس,محمود حسنين الشيخ,ستوديوهات جلال,رداميس,نجيب خوري",nan,"يوسف شوقي,فؤاد المهندس,صباح","نجدي حافظ,زكي صالح,بندق","افلام برج القاهره,أفلام الشمس (أ. جبور)"
الناصر صلاح الدين,1963,سيرة ذاتية,180,رصد فيلم حرب صليبي مسلم ٱنتصار صلاح دين ملك قدس توقيع معهد سلام قاءد جيش صليبي رينو دي شاتيون ذبح جماعه حاج ذاهب مكه قرر صلاح دين ٱنتقام رينو دي شاتيون جندي موقع استراتيجي صعب هجوم ارسل صلاح دين مجموع الفداءيين تدمير خزان ماء دفع صليبي خروج مخبءهم دار معركه دامي ٱنتصر مسلم هزيمه صليبي بدا فرجينيا تجميع جيش محاربه مسلم ٱستنجد امير كونراد مساعد ملك انجلترا ريتشارد قلب اسد وافق ريتشارد شرط راس صليبي بدا حمل صليب جديد مسلم حمل شرس حمل سابق,"أحمد مظهر,صلاح ذو الفقار,نادية لطفي,حمدي غيث,ليلى فوزي,عمر الحريري,ليلى طاهر,حسين رياض,محمود المليجي,زكي طليمات,توفيق الدقن,محمد حمدي,محمد سلطان,محمد عبدالجواد,سامى لطفى,إبراهيم عمارة,أحمد لوكسر,صلاح نظمي,بدر نوفل,إحسان شريف,عبدالعظيم كامل,نجيب عبده,كنعان وصفي,ناهد صبري,سامية محسن,زكي إبراهيم,فتوح نشاطي","يوسف السباعي,عبدالرحمن الشرقاوي,يوسف شاهين,نجيب محفوظ,عز الدين ذو الفقار,محمد عبدالجواد","لوتس فيلم (آسيا وشركاها),المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى),آسيا داغر,ستوديو مصر,مصطفى عبداللطيف,إبراهيم مصطفى","وديد سري,كليليو (ك. ستشفللي),مسعود حسن,روبير سعد","رشيدة عبدالسلام,انجا وميلا","أنطوان بوليزويس,روبرت شارفنبرج,حبيب خوري,شادي عبدالسلام,دنجل (عجمي عبدالرحمن),ولي الدين سامح,سعيد عطا,محمود المغربي,عثمان حسين,جبرائيل كراز","ولي الدين سامح,شادي عبدالسلام,تفيده عبدالرحمن,جبرائيل كراز",أنجلو فرانشيسكو لافانينو,"يوسف شاهين,محمد عبدالجواد,سمير نصري,فكرى رمزى",لوتس فيلم (آسيا وشركاها)
أم العروسة,1963,عائلي,105,حسين رب اسر مصري كبير عاني مشكله تدبير تكليف زيجه ٱبنه كبري قرر ٱختلاس مبلغ عهد مالي شركه عمل نيه رد تعرض فيلم حياه ٱجتماع اسر مصري,"سميرة أحمد,تحية كاريوكا,عماد حمدي,حسن يوسف,يوسف شعبان,مديحة سالم,سليمان الجندي,عدلي كاسب,ملك الجمل,خيرية أحمد,إحسان شريف,عاطف مكرم,عبدالرحمن العربي,إيناس عبدالله,إسكندر منسي,عبدالمنعم إسماعيل,حسين إسماعيل,إبراهيم حشمت,فيكتوريا كوهين,مختار السيد,فوقية منصور,عباس رحمي,طوسون معتمد,فيفي سعيد,فيفي يوسف","عبدالحميد جودة السحار,عبدالحي أديب","نجيب خوري,أديب جابر,فؤاد صلاح الدين,عادل فريد","مسعود عيسى,رمزي إبراهيم","حسين أحمد,محيي الدين عبدالجواد,سلوى","حبيب خوري,محمود المغربي,كوستا",nan,nan,"عاطف سالم,أنور الشناوي,حسين عمر",صوت الفن
